part_id,country,part_age_group,part_adult_child,part_ethnicity,part_ses,day_week,large_n,add_u18_work,add_18_64_work,add_65_work,add_u18_school,add_18_64_school,add_65_school,add_u18_other,add_18_64_other,add_65_other
1484,UK,50-54,Adult,White,Unemployed,weekday,1,0,0,0,0,0,0,0,1,0
1495,UK,50-54,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
1506,UK,35-39,Adult,White,3,weekday,80,0,0,0,0,0,0,10,60,10
1517,UK,50-54,Adult,White,4,weekday,0,0,0,0,0,0,0,0,0,0
1528,UK,35-39,Adult,Prefer not to say,2,weekday,0,0,0,0,0,0,0,0,0,0
1539,UK,30-34,Adult,Mixed,Unknown,weekend,0,0,0,0,0,0,0,0,0,0
1550,UK,45-49,Adult,White,5,weekday,3,0,0,0,0,0,0,2,1,0
1561,UK,30-34,Adult,Asian,7,weekday,2,0,0,0,0,0,0,1,1,0
1572,UK,50-54,Adult,Asian,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
1583,UK,35-39,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
1594,UK,60-64,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
1605,UK,45-49,Adult,White,1,weekday,5,0,0,0,0,0,0,0,5,0
1616,UK,65-69,Adult,White,Retired,weekend,0,0,0,0,0,0,0,0,0,0
